,Peers,Miners,Contracts,Transactions,Time,Difficulty
0,2,1,100,100,0.5779850482940674,1
0,4,1,100,100,0.5699515342712402,1
1,4,1,100,100,1.0331642627716064,1
2,4,1,100,100,1.2563285827636719,1
0,6,1,100,100,0.5688714981079102,1
1,6,1,100,100,1.018022060394287,1
2,6,1,100,100,1.018022060394287,1
3,6,1,100,100,1.1568090915679932,1
4,6,1,100,100,1.1715748310089111,1
0,8,1,100,100,0.569765567779541,1
1,8,1,100,100,1.0179219245910645,1
2,8,1,100,100,1.0179219245910645,1
3,8,1,100,100,1.1040081977844238,1
4,8,1,100,100,1.1040081977844238,1
5,8,1,100,100,1.1040081977844238,1
6,8,1,100,100,1.2130558490753174,1
0,10,1,100,100,0.5854451656341553,1
1,10,1,100,100,1.0281853675842285,1
2,10,1,100,100,1.0281853675842285,1
3,10,1,100,100,1.0281853675842285,1
4,10,1,100,100,1.0638453960418701,1
5,10,1,100,100,1.0638453960418701,1
6,10,1,100,100,1.0638453960418701,1
7,10,1,100,100,1.186629056930542,1
8,10,1,100,100,1.1913862228393555,1
0,12,1,100,100,0.5855216979980469,1
1,12,1,100,100,1.0394089221954346,1
2,12,1,100,100,1.058194875717163,1
3,12,1,100,100,1.058194875717163,1
4,12,1,100,100,1.058194875717163,1
5,12,1,100,100,1.058194875717163,1
6,12,1,100,100,1.1052277088165283,1
7,12,1,100,100,1.1052277088165283,1
8,12,1,100,100,1.165069341659546,1
9,12,1,100,100,1.165069341659546,1
10,12,1,100,100,1.2111339569091797,1
0,14,1,100,100,0.5862276554107666,1
1,14,1,100,100,1.0333714485168457,1
2,14,1,100,100,1.0333714485168457,1
3,14,1,100,100,1.08418607711792,1
4,14,1,100,100,1.08418607711792,1
5,14,1,100,100,1.087186336517334,1
6,14,1,100,100,1.087186336517334,1
7,14,1,100,100,1.1162261962890625,1
8,14,1,100,100,1.1956462860107422,1
9,14,1,100,100,1.1956462860107422,1
10,14,1,100,100,1.1956462860107422,1
11,14,1,100,100,1.1956462860107422,1
12,14,1,100,100,1.1956462860107422,1
0,16,1,100,100,0.5842525959014893,1
1,16,1,100,100,1.0647664070129395,1
2,16,1,100,100,1.0667157173156738,1
3,16,1,100,100,1.0647664070129395,1
4,16,1,100,100,1.0703461170196533,1
5,16,1,100,100,1.076909065246582,1
6,16,1,100,100,1.1229114532470703,1
7,16,1,100,100,1.1209871768951416,1
8,16,1,100,100,1.120962142944336,1
9,16,1,100,100,1.121495008468628,1
10,16,1,100,100,1.2334933280944824,1
